,CurrentTreeDvd,SUMOActuated,Random,Uniform
0,18441,14136,15188,15388
1,15483,13535,12718,14925
2,18678,14904,10043,15397
3,18295,15344,14329,15475
4,18391,15404,14382,15177
5,18797,15000,14195,14760
6,18437,14846,12689,14483
7,18564,14935,13741,15332
8,18685,15024,14696,15264
9,18668,14589,14874,15307
10,18697,14958,10705,14960
11,18586,15107,14875,14702
12,18648,15271,13786,14983
13,18593,14653,14494,14671
14,18687,14735,14070,15257
15,18528,15431,14995,14908
16,18554,14909,14985,15640
17,18544,14989,14427,14749
18,18299,14458,14975,15210
19,18319,15180,14619,14933
