,CurrentTreeDvd,SUMOActuated,Random,Uniform
0,19626,16212,17081,17349
1,17409,15758,14804,16933
2,19757,17086,12184,17399
3,19519,17346,16455,17472
4,19611,17440,16531,17168
5,19835,17083,16395,16890
6,19581,17035,14916,16471
7,19605,17070,15872,17310
8,19808,17089,16742,17200
9,19706,16722,16928,17244
10,19750,17114,12903,16986
11,19627,17100,17063,16732
12,19727,17539,15994,17084
13,19715,16816,16649,16683
14,19909,17081,16251,17166
15,19609,17542,17103,16938
16,19655,16953,16989,17546
17,19580,17059,16577,16782
18,19472,16606,16953,17187
19,19490,17259,16752,16928
