,CurrentTree,Random,Uniform,Actuated
0,18441,14292,15388,14136
1,18373,14940,15185,15138
2,18678,13201,15397,14904
3,18295,14615,15475,15344
4,18391,14993,15177,15404
5,18797,15052,14760,15000
6,18437,11382,14483,14846
7,18564,14795,15332,14935
8,18685,14072,15264,15024
9,18668,15703,15307,14589
10,18697,9549,14960,14958
11,18586,13958,14702,15107
12,18648,14727,14983,15271
13,18593,14909,14671,14653
14,18687,14517,15257,14735
15,18528,14958,14908,15431
16,18554,14948,15640,14909
17,18544,15088,14749,14989
18,18299,13416,15210,14458
19,18319,14623,14933,15180
