,CurrentTree,Random,Uniform,Actuated
0,17555,12713,13117,12311
1,18064,11474,13295,12680
2,17890,7677,12734,11179
3,17925,10634,11304,13145
4,18519,8700,11720,14261
5,14537,9171,12566,12820
6,15938,10294,13445,11767
7,17962,10641,12233,12359
8,13104,8967,13077,11632
9,18311,10164,12680,12821
10,18594,10661,11681,14464
11,15653,9211,12252,11902
12,17826,11204,12556,13340
13,17845,11238,13051,12104
14,18741,11357,12329,12711
15,15635,9672,12385,12401
16,18655,11340,12390,11721
17,18760,10867,10856,12880
18,18190,8348,12211,13716
19,13524,10357,10795,12389
