,CurrentTree,Random,Uniform,Actuated
0,16439,13768,14008,15488
1,16227,11776,13582,15314
2,16419,14287,13154,15037
3,16337,14028,13912,15260
4,16196,13459,13952,15297
5,16316,11547,13933,15311
6,16137,13444,14098,15211
7,16032,13766,13794,15140
8,16377,13554,14114,15301
9,16314,13754,14145,15205
10,16388,13580,13704,15411
11,16212,13445,14142,15579
12,16301,12810,13948,15070
13,16083,13775,14130,15311
14,16546,14520,14202,15213
15,16462,12079,13242,15143
16,16158,13862,13903,15048
17,16180,11962,14229,15399
18,16141,10195,13922,15434
19,16412,8427,14045,15104
