,CurrentTree,Random,Uniform,Actuated
0,16068,10079,8145,14156
1,15978,11003,11950,12914
2,15915,9513,12916,13686
3,15973,9910,12277,13209
4,16202,10536,13616,13348
5,16086,9498,13148,13978
6,16005,10241,12213,12524
7,15967,10884,12984,13584
8,15959,9437,11437,13241
9,16159,11250,13661,12660
10,15883,9829,12096,13645
11,16051,11357,12662,7629
12,15995,10632,12422,14370
13,15868,11197,12352,13676
14,16136,9769,12346,13914
15,15815,10825,12545,14260
16,12651,10716,12095,13545
17,16233,9891,12284,13253
18,15911,9501,12516,13684
19,16080,8937,12203,13937
